pattern_name,avg_difficulty,std_difficulty,avg_semantic_distance,avg_mean_curvature,avg_geodesic_efficiency,avg_landmark_accuracy
Identity-Focused Life Narrative,0.6130691960900486,0.22198021146452898,15.0400390625,0.0471238898038469,0.5863663922676817,20953.667602539062
Disorganized Thought & Derealization,0.5920737744146329,0.2736486724700012,13.619140625,0.0471238898038469,0.4223303835057628,20682.198623657227
Fragmented Overwhelm & Exhaustion,0.5784108183751451,0.1926690183313886,15.5634765625,0.0471238898038469,0.5572542584128766,22171.376487731934
Hopelessness-Driven Cognitive Exhaustion,0.5699761573506119,0.18071186023111033,10.519530892372131,0.0471238898038469,0.616664757637049,22764.117568969727
Existential Overload & Worthlessness,0.5112728591551349,0.2502345102325542,15.107421398162842,0.03926990816987242,0.6795513517249437,21741.990577697754
Self-Critical Rumination,0.49516169262208065,0.17872866763874962,11.756835997104645,0.03926990816987242,0.644784002349076,22513.422477722168
Suicidal Planning & Rationalization,0.4895342268084786,0.1891608009678854,13.01953136920929,0.03926990816987242,0.6077965199015372,21424.129249572754
Executive Fatigue & Avolition,0.4843686947060144,0.15031324191841108,11.644531726837158,0.03926990816987242,0.7063316084608462,21049.0030670166
Somatic–Emotional Self-Monitoring,0.46410868076073025,0.2427819542760006,9.033202946186066,0.03926990816987242,0.6135276706868084,20791.165771484375
Persistent Suicidal Ideation Focus,0.46228925673118076,0.2721254402162157,14.802733957767487,0.031415926535897934,0.6106367134779513,20947.07420349121
Overwhelmed Narrative Processing,0.4337311506553475,0.2872487246133063,14.06738293170929,0.031415926535897934,0.6554013946441992,21988.87953186035
Overload with Entrapment Themes,0.4334682898475674,0.17956770341968542,12.8125,0.031415926535897934,0.6223969240746856,21278.585861206055
Conflict-Focused Self-Reflection,0.34756001244994084,0.19942145779357545,11.240234434604645,0.02356194490192345,0.7621288092745276,19634.03003692627
