pattern_name,layer_idx,avg_semantic_distance,avg_mean_curvature,avg_path_length,avg_geodesic_efficiency,avg_landmark_accuracy
Conflict-Focused Self-Reflection,1,2.093750476837158,0.06283185307179587,9.501837491989136,0.2203521664733131,840.0430297851562
Conflict-Focused Self-Reflection,5,8.53125,0.06283185307179587,10.612746238708496,0.8038682738765079,2423.384033203125
Conflict-Focused Self-Reflection,7,19.5,0.0,19.5,1.0,3295.975341796875
Conflict-Focused Self-Reflection,11,5.7578125,0.0,5.7578125,1.0,20763.943359375
Conflict-Focused Self-Reflection,15,21.875,0.0,21.875,1.0,26297.603515625
Conflict-Focused Self-Reflection,22,19.2890625,0.0,19.2890625,1.0,30011.384765625
Conflict-Focused Self-Reflection,27,4.5,0.06283185307179587,61.80466842651367,0.07281003384640017,34752.8671875
Conflict-Focused Self-Reflection,29,8.375,0.0,8.375,1.0,38687.0390625
Disorganized Thought & Derealization,1,25.03125,0.06283185307179587,27.970821380615234,0.8949057898366737,1301.6170654296875
Disorganized Thought & Derealization,5,3.125,0.06283185307179587,22.472124099731445,0.1390611757985684,2215.863037109375
Disorganized Thought & Derealization,7,0.375,0.0,20.701172828674316,0.018114915667027675,3409.06005859375
Disorganized Thought & Derealization,11,7.234375,0.0,7.234375,1.0,18208.54296875
Disorganized Thought & Derealization,15,38.3125,0.06283185307179587,94.27195823192596,0.40640399031220253,25402.50390625
Disorganized Thought & Derealization,22,11.875,0.06283185307179587,27.548476219177246,0.4310583244431315,30823.103515625
Disorganized Thought & Derealization,27,16.0,0.06283185307179587,85.61152935028076,0.1868907157882413,39357.640625
Disorganized Thought & Derealization,29,7.0,0.06283185307179587,23.162842750549316,0.3022081562002571,44739.2578125
Executive Fatigue & Avolition,1,23.1875,0.0,23.187500953674316,0.9999999588711901,889.1759033203125
Executive Fatigue & Avolition,5,22.437501907348633,0.0,22.437501907348633,1.0,2590.924072265625
Executive Fatigue & Avolition,7,28.34375,0.0,28.343749940395355,1.0000000021029203,4043.889404296875
Executive Fatigue & Avolition,11,4.8125,0.06283185307179587,8.73069953918457,0.5512158537126199,18203.755859375
Executive Fatigue & Avolition,15,7.375001907348633,0.06283185307179587,10.068456649780273,0.7324858380861757,26586.072265625
Executive Fatigue & Avolition,22,2.0,0.06283185307179587,6.1634979248046875,0.324491064067873,34478.1953125
Executive Fatigue & Avolition,27,2.0,0.06283185307179587,8.366203308105469,0.2390570640403073,39031.51171875
Executive Fatigue & Avolition,29,3.0,0.06283185307179587,3.7341156005859375,0.8034030868056833,42568.5
Existential Overload & Worthlessness,1,10.625,0.06283185307179587,13.930761337280273,0.7627005978177455,968.3699340820312
Existential Overload & Worthlessness,5,47.0625,0.0,47.0625,1.0,2158.466796875
Existential Overload & Worthlessness,7,11.75,0.06283185307179587,47.19856357574463,0.24894825413793592,3497.5859375
Existential Overload & Worthlessness,11,6.75,0.0,6.75,1.0,18981.3203125
Existential Overload & Worthlessness,15,29.859375,0.06283185307179587,30.01254653930664,0.9948964164335059,27712.138671875
Existential Overload & Worthlessness,22,6.1875,0.0,6.1875,1.0,32697.48046875
Existential Overload & Worthlessness,27,1.2499961853027344,0.06283185307179587,36.51370620727539,0.03423361567864265,40837.28515625
Existential Overload & Worthlessness,29,7.375,0.06283185307179587,18.641063690185547,0.39563192973171973,47083.27734375
Fragmented Overwhelm & Exhaustion,1,12.9140625,0.06283185307179587,22.08250904083252,0.5848095647157101,876.7689819335938
Fragmented Overwhelm & Exhaustion,5,7.46875,0.06283185307179587,20.204116821289062,0.36966476021016587,2273.30078125
Fragmented Overwhelm & Exhaustion,7,11.0625,0.0,11.0625,1.0,3431.346435546875
Fragmented Overwhelm & Exhaustion,11,0.75,0.06283185307179587,6.244862347841263,0.1200987240750409,19105.10546875
Fragmented Overwhelm & Exhaustion,15,52.625,0.0,52.62499976158142,1.0000000045305193,27859.068359375
Fragmented Overwhelm & Exhaustion,22,17.125,0.06283185307179587,62.30963897705078,0.27483709232061665,33272.22265625
Fragmented Overwhelm & Exhaustion,27,15.0,0.06283185307179587,44.87578582763672,0.3342559851233237,42310.9140625
Fragmented Overwhelm & Exhaustion,29,7.5625,0.06283185307179587,9.766029357910156,0.7743679363276365,48242.28515625
Hopelessness-Driven Cognitive Exhaustion,1,20.875,0.0,20.875,1.0,1158.1693115234375
Hopelessness-Driven Cognitive Exhaustion,5,6.249999046325684,0.06283185307179587,6.3719892501831055,0.9808552401663395,2185.261474609375
Hopelessness-Driven Cognitive Exhaustion,7,1.5625,0.06283185307179587,6.949995994567871,0.22482027345357505,3662.263671875
Hopelessness-Driven Cognitive Exhaustion,11,14.28125,0.06283185307179587,17.34270668029785,0.8234729597441779,17057.5234375
Hopelessness-Driven Cognitive Exhaustion,15,3.125,0.06283185307179587,24.430675506591797,0.12791295922852497,27224.4609375
Hopelessness-Driven Cognitive Exhaustion,22,26.812498092651367,0.0,26.812498092651367,1.0,35545.22265625
Hopelessness-Driven Cognitive Exhaustion,27,4.5,0.06283185307179587,14.724100112915039,0.3056213938706439,44786.39453125
Hopelessness-Driven Cognitive Exhaustion,29,6.75,0.06283185307179587,14.342317581176758,0.47063523463313073,50493.64453125
Identity-Focused Life Narrative,1,15.6875,0.06283185307179587,29.892230987548828,0.5248019127958163,1219.919677734375
Identity-Focused Life Narrative,5,24.5,0.06283185307179587,51.80543899536133,0.47292331606713606,2247.157470703125
Identity-Focused Life Narrative,7,26.625,0.0,26.625,1.0,3227.07421875
Identity-Focused Life Narrative,11,2.6875,0.06283185307179587,8.442914962768555,0.31831423292207717,17438.318359375
Identity-Focused Life Narrative,15,22.796875,0.0,22.796875059604645,0.9999999973854028,26578.134765625
Identity-Focused Life Narrative,22,10.0,0.06283185307179587,25.674842834472656,0.3894863179677724,30700.005859375
Identity-Focused Life Narrative,27,2.25,0.06283185307179587,51.22865676879883,0.04392072995695601,39839.65234375
Identity-Focused Life Narrative,29,15.7734375,0.06283185307179587,16.75379180908203,0.9414846310462929,46379.078125
Overload with Entrapment Themes,1,19.5,0.0,19.5,1.0,1170.0428466796875
Overload with Entrapment Themes,5,11.375,0.06283185307179587,29.12991237640381,0.3904920774569211,2339.438720703125
Overload with Entrapment Themes,7,2.125,0.06283185307179587,4.696195602416992,0.45249392910855873,3355.976806640625
Overload with Entrapment Themes,11,0.5625,0.06283185307179587,5.3379316329956055,0.1053778951613004,16223.95703125
Overload with Entrapment Themes,15,42.875,0.0,42.875,1.0,25174.275390625
Overload with Entrapment Themes,22,13.0625,0.0,13.0625,1.0,33165.43359375
Overload with Entrapment Themes,27,1.125,0.06283185307179587,36.512351989746094,0.030811490870704193,41349.7109375
Overload with Entrapment Themes,29,11.875,0.0,11.875,1.0,47449.8515625
Overwhelmed Narrative Processing,1,6.078125,0.06283185307179587,23.098831176757812,0.2631356086153765,1109.9117431640625
Overwhelmed Narrative Processing,5,10.375,0.0,10.375000476837158,0.999999954039794,2199.971923828125
Overwhelmed Narrative Processing,7,15.265625,0.06283185307179587,16.245738744735718,0.9396694874800129,3766.291259765625
Overwhelmed Narrative Processing,11,0.0390625,0.0,5.6717352867126465,0.006887221992097013,18337.39453125
